cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,região,ibge,gia,ddd,siafi
57315-120,Rua Arlindo Ferreira de Aguiar,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-202,Alameda Patativa,(Lot Ouro Verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-204,Alameda Asa Branca,(Lot Ouro Verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-206,Alameda Andorinha,(Lot Ouro Verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-208,Alameda Gavião,(Lot Ouro Verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-210,Alameda Arara,(Lot Ouro Verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-212,Alameda Arara Azul,(Lot Ouro Verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-214,Alameda Papagaio,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-216,Alameda dos Pardais,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-218,Alameda Rouxinol,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-220,Alameda Tucano,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-224,Alameda Quero-Quero,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-226,Alameda Pica-pau,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-242,Alameda Carcará,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-232,Alameda Cardeal,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-222,Alameda Caboclinho,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-228,Alameda Águia,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-234,Alameda Jandaia,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-240,Alameda Tico-Tico,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-744,Rua Josefa Gerônimo de Oliveira,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-230,Alameda Azulão,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-238,Alameda Galo de Campina,(Lot Ouro verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-745,Rodovia AL-220,lado par,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-746,Rua Antonio Otávio de Oliveira,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-700,Rua Mestre Geraldo,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-738,Rua Pedro Barbosa Bela,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-740,Praça Luzia Suruagy,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-742,Rua Manoel Antonio Salustiano,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-732,Rua Marcelo Barbosa,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-236,Alameda Faisão,(Lot Ouro Verde),,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-748,Rua José Otávio de Oliveira,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-730,Rua Manoel Barbosa Sobrinho,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-734,Rua Vandete de Oliveira Mota,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-736,Rua Manoel Bernardo da Luz,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-710,Rua Joaquim Pereira Gomes,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-750,Rua Maria de Lourdes de Oliveira,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-752,Rua Floripis Barbosa da Silva,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-754,Rua Guilherme Ulisses Ferreira de Oliveira,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-758,Rua Maria Luiza Nóbrega Lima,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-756,Rua Terezinha de Jesus Vital Gomes,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-760,Rua José Arestides da Silva,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-762,Rua Cícero Ferreira da Silva,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-766,Rua Matilde Barbosa Paulino,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-764,Rua Ana Barbosa Vital,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-768,Rua Florisvaldo Correia Magalhães,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-770,Rua Cândido Barbosa da Silva,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-780,Rua Gilberto Félix de Menezes,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-778,Rua Adabel Nunes da Silva,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-790,Rua Manoel Procópio de Oliveira,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-782,Rua José Valentim de Oliveira,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57315-784,Rua José Nunes da Silva,,,Senador Arnon de Melo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-010,Avenida Governador Antônio Semeão Lamenha Filho,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-015,Rua Maria Rogéria Brito,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-020,Rua Gerônimo Rocha Lima,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-025,Rua Maragogi,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-048,Rua Professor José Mauro da Silva,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-055,Rua Universitário José Laelson de Melo,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-046,Rua Doutor José Gláucio Oliveira Gomes,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-060,Rua Governador Silvestre Péricles,lado par,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-065,Praça Afrânio Salgado Lages,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-045,Rua Belo Monte,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-070,Rua Santa Felicidade,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-035,Rua Japaratinga,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-030,Rua da Saudade,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-040,Rua Padre Antônio Lima Neto,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-061,Rua Marechal Deodoro da Fonseca,de 668 ao fim - lado par,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-075,Rua das Flores,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-085,Rua Boa Esperança,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-090,Rua Adrião Henrique Silva,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-095,Rua Maria Terto da Silva,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-100,Rua Maravilha,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-110,Avenida João Crisóstomo Ramalho,(AL 110) - lado par,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-150,Rua Fernando Antonio Pereira Ferreira,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-152,Rua José Ferreira Barbosa,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-160,Rua Pedro Balbino,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-190,Rua Antônio Vital da Silva,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-165,Rua São Roque,lado ímpar,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-195,Rua Dom Pedro II,de 594 ao fim - lado par,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-175,Rua Genésio Rodrigues,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-320,Rua Prefeito José Paulo Moura,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-170,Rua Dioclécio Balbino da Silva,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-155,Praça Tertuliano Barbosa,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-360,Praça Carlos Gomes,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-380,Rua Josefa de Carvalho e Silva,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-390,Rua Cabo Jeovane Pereira Silva,lado ímpar,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-310,Rua Dom Oscar Arnulfo Homero,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-335,Rua Antônio Fernandes,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-180,Rua Deputado José Lúcio de Melo,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-325,Rua Manoel José de Oliveira,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-330,Rua Durval de Brito,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-375,Avenida Novo Nordeste,lado ímpar,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-345,Rua Maria Lopes,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-385,Rua Crisantino da Cunha Lima,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-305,Rua Djalma Matheus Santana,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-370,Praça Edmilson da Rocha Barros,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-185,Rua José Terto,,,Jardim Tropical,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-355,Rua Francisco Firmino de Oliveira,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-395,Rua Adeildo Nepomuceno Marques,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-400,Rua Carlos Alberto Vital,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-405,Rua José Augusto Vital,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-410,Rua Pedro Amâncio Vital,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-411,Rua Natanael Batista de Oliveira,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-413,Rua Abílio José Damasceno,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-414,Rua Rosa Jovelina da Silva,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-415,Rua Elísio Barbosa,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-416,Rua José Cícero Alécio da Silva,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-424,Rua José Horácio da Silva,(Lot Porto Rico),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-422,Rua Manoel Firmino de Oliveira,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-452,Rua Ignez Fernandes de Biase Wyszomirska,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-425,Rua José Barros Melo,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-435,Avenida Eniraldo de Oliveira Almeida,(AL 110) - lado par,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-430,Rua Terezinha de Jesus Gomes,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-417,Rua Padre Edgar Alves Santos,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-460,Rua Severino Fernandes da Silva,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-440,Rua Artur Correia da Silva,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-461,Rua Argemiro Pereira,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-462,Rua Arivaldo Pereira,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-468,Rua Maranhão,(Res Boa Vista II),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-476,Rua Rio Grande do Norte,(Res Boa Vista II),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-450,Avenida Vereador João Saturnino de Almeida,lado ímpar,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-478,Rua Bahia,(Res Boa Vista II),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-454,Rua Cândida Fernandes da Silva,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-466,Rua Ceará,(Res Boa Vista II),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-480,Rua Alagoas,(Res Boa Vista II),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-482,Rua Angelita Ferreira da Silva,,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-431,Rodovia AL-115,lado ímpar,,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-470,Rua Paraíba,(Res Boa Vista II),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-474,Rua Piauí,(Res Boa Vista II),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-602,Rua Engenheiro Camilo Collier,lado ímpar,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-472,Rua Pernambuco,(Res Boa Vista II),,Nova Esperança,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-606,Rua Maria Evangelista da Silva,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-608,Rua Estudante Maxziel Barbosa Oliveira,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-610,Rua José Salú,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-612,Rua Antônio Salú,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-614,Rua Francisco Valdivino da Silva,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-647,Rua João Ferreira de Lima,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-646,Rua Zezé Lima,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-648,Rua Euclides Marques de Sá,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-616,Rua Flavio Nunes Ferreira,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-644,Rua Lucila Roque de Lima,lado par,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57317-000,Rodovia AL-220,lado par,,Deputado Nezinho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-654,Rua Manoel Correia de Melo,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-650,Rua Edite Florêncio de Oliveira,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57316-652,Rua São Gonçalo,,,João Paulo II,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-600,,,,Lagoa do Rancho,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-100,,,,Cangandu,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-700,,,,Laranjal,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-890,,,,Flexeiras,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-100,,,,Pau D'Arco,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-200,,,,Carrasco,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-500,,,,Sapucaia,Arapiraca,AL,Alagoas,,2700300,,82,2705
57318-400,,,,Jenipapo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-410,,,,Mangabeiras,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-300,,,,Poção,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-600,,,,Taboquinha,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-200,,,,Pau Ferro,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-400,,,,Poço da Pedra,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-700,,,,Vila Aparecida,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-780,,,,Poço de Santana,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-800,,,,Vila São Francisco,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-810,,,,Poço de Baixo,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-840,,,,Rio dos Bichos,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-880,,,,Taquara,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-890,,,,Varginha,Arapiraca,AL,Alagoas,,2700300,,82,2705
57319-990,Povoado Pau D'Arco,,CPC Pau D'Arco,,Arapiraca,AL,Alagoas,,2700300,,82,2705
57320-000,,,,,Craíbas,AL,Alagoas,,2702355,,82,2889
57360-000,,,,,Girau do Ponciano,AL,Alagoas,,2702900,,82,2757
57370-970,Rua Senador Serapião,s/n,AC Traipu,Centro,Traipu,AL,Alagoas,,2709202,,82,2883
57400-970,Avenida Maestro M Bezerra Lima,763,AC Pão de Açúcar,Centro,Pão de Açúcar,AL,Alagoas,,2706406,,82,2827
57380-970,Rua São José,02,AC São Brás,Centro,São Brás,AL,Alagoas,,2708204,,82,2863
57330-970,Avenida Antonio Albuquerque,16,AC Lagoa da Canoa,Centro,Lagoa da Canoa,AL,Alagoas,,2704104,,82,2781
57340-000,,,,,Feira Grande,AL,Alagoas,,2702603,,82,2751
57325-970,Rua Governador Luiz Cavalcante,91,AC Coité do Nóia,Centro,Coité do Nóia,AL,Alagoas,,2702009,,82,2739
57325-000,,,,,Coité do Nóia,AL,Alagoas,,2702009,,82,2739
57320-970,Rua Pedro Gama,14,AC Craíbas,Centro,Craíbas,AL,Alagoas,,2702355,,82,2889
57350-000,,,,,Campo Grande,AL,Alagoas,,2701506,,82,2729
57400-000,,,,,Pão de Açúcar,AL,Alagoas,,2706406,,82,2827
57380-000,,,,,São Brás,AL,Alagoas,,2708204,,82,2863
57390-000,,,,,Olho D'Água Grande,AL,Alagoas,,2705903,,82,2817
57390-970,Rua Quatorze de Setembro,92,AC Olho D'Água Grande,Centro,Olho D'Água Grande,AL,Alagoas,,2705903,,82,2817
57340-970,Avenida Teixeira de Freitas,s/n,AC Feira Grande,Centro,Feira Grande,AL,Alagoas,,2702603,,82,2751
57330-000,,,,,Lagoa da Canoa,AL,Alagoas,,2704104,,82,2781
57370-000,,,,,Traipu,AL,Alagoas,,2709202,,82,2883
57360-970,Avenida Tiradentes,499,AC Girau do Ponciano,Progresso,Girau do Ponciano,AL,Alagoas,,2702900,,82,2757
57405-000,,,,Limoeiro,Pão de Açúcar,AL,Alagoas,,2706406,,82,2827
57410-000,,,,,Palestina,AL,Alagoas,,2706208,,82,2823
57425-000,,,,,Jaramataia,AL,Alagoas,,2703700,,82,2773
57430-000,,,,,Jacaré dos Homens,AL,Alagoas,,2703403,,82,2767
57425-970,Rua do Comércio,173,AC Jaramataia,Centro,Jaramataia,AL,Alagoas,,2703700,,82,2773
57430-970,Rua Monsenhor Freitas Machado,12,AC Jacaré dos Homens,Centro,Jacaré dos Homens,AL,Alagoas,,2703403,,82,2767
57435-000,,,,,Belo Monte,AL,Alagoas,,2700904,,82,2717
57435-970,Travessa Cônego Jasson Souto,36,AC Belo Monte,Centro,Belo Monte,AL,Alagoas,,2700904,,82,2717
57440-000,,,,,Monteirópolis,AL,Alagoas,,2705408,,82,2807
57440-970,Rua São Sebastião,1,AC Monteirópolis,Centro,Monteirópolis,AL,Alagoas,,2705408,,82,2807
57475-970,Praça Sagrado Coração de Jesus,07,AC Pariconha,Centro,Pariconha,AL,Alagoas,,2706422,,82,2645
57445-000,,,,,São José da Tapera,AL,Alagoas,,2708402,,82,2867
57480-970,Rua José Bonifácio,33,AC Delmiro Gouveia,Centro,Delmiro Gouveia,AL,Alagoas,,2702405,,82,2747
57520-000,,,,,Maravilha,AL,Alagoas,,2704609,,82,2791
57525-000,,,,,Ouro Branco,AL,Alagoas,,2706109,,82,2821
57500-000,,,,,Santana do Ipanema,AL,Alagoas,,2708006,,82,2859
57480-972,Rua Projetada 008,74,AGC lagoinha,Lagoinha,Delmiro Gouveia,AL,Alagoas,,2702405,,82,2747
57442-000,,,,,Olho D'Água das Flores,AL,Alagoas,,2705705,,82,2813
57525-970,Rua Sebastião Vieira da Rocha,356,AC Ouro Branco,Centro,Ouro Branco,AL,Alagoas,,2706109,,82,2821
57480-000,,,,,Delmiro Gouveia,AL,Alagoas,,2702405,,82,2747
57510-000,,,,,Poço das Trincheiras,AL,Alagoas,,2707206,,82,2843
57520-970,Praça Pedro Fernando Brandão Alcântara,65,AC Maravilha,Centro,Maravilha,AL,Alagoas,,2704609,,82,2791
57515-000,,,,,Senador Rui Palmeira,AL,Alagoas,,2708956,,82,2891
57480-971,Rua José Manoel da Silva,s/n,AGC Barragem Leste,Centro,Delmiro Gouveia,AL,Alagoas,,2702405,,82,2747
57515-970,Rua do Comércio,482,AC Senador Rui Palmeira,Centro,Senador Rui Palmeira,AL,Alagoas,,2708956,,82,2891
57470-000,,,,,Olho D'Água do Casado,AL,Alagoas,,2705804,,82,2815
57445-970,Rua 24 de Dezembro,65,AC São José da Tapera,Centro,São José da Tapera,AL,Alagoas,,2708402,,82,2867
57490-000,,,,,Água Branca,AL,Alagoas,,2700102,,82,2701
57530-000,,,,,Canapi,AL,Alagoas,,2701605,,82,2731
57475-971,Distrito Campinhos,s/n,AGC Campinhos,Centro,Pariconha,AL,Alagoas,,2706422,,82,2645
57490-970,Rua Doutor Miguel Torres,19,AC Água Branca,Centro,Água Branca,AL,Alagoas,,2700102,,82,2701
57500-970,Avenida Doutor Arsênio Moreira,358,AC Santana do Ipanema,Monumento,Santana do Ipanema,AL,Alagoas,,2708006,,82,2859
57442-970,Rua do Comércio,191,AC Olho D'Água das Flores,Centro,Olho D'Água das Flores,AL,Alagoas,,2705705,,82,2813
57475-000,,,,,Pariconha,AL,Alagoas,,2706422,,82,2645
57530-970,Rua Sônia Malta,10,AC Canapi,Centro,Canapi,AL,Alagoas,,2701605,,82,2731
57535-000,,,,,Carneiros,AL,Alagoas,,2701803,,82,2735
57540-000,,,,,Mata Grande,AL,Alagoas,,2705002,,82,2799
57540-970,Rua Siqueira Campos,28,AC Mata Grande,Bom Sucesso,Mata Grande,AL,Alagoas,,2705002,,82,2799
57535-970,Rua Agripino Damasceno,30,AC Carneiros,Centro,Carneiros,AL,Alagoas,,2701803,,82,2735
57545-000,,,,,Inhapi,AL,Alagoas,,2703304,,82,2765
57545-970,Praça da Matriz,19,AC Inhapi,Monte Castelo,Inhapi,AL,Alagoas,,2703304,,82,2765
57550-970,Rua Prefeito Gilberto Cavalcante,111,AC Olivença,Centro,Olivença,AL,Alagoas,,2706000,,82,2819
57560-970,Avenida Miguel Vieira de Novais,38,AC Dois Riachos,Centro,Dois Riachos,AL,Alagoas,,2702504,,82,2749
57560-000,,,,,Dois Riachos,AL,Alagoas,,2702504,,82,2749
57550-000,,,,,Olivença,AL,Alagoas,,2706000,,82,2819
57570-000,,,,,Cacimbinhas,AL,Alagoas,,2701209,,82,2723
57600-005,Rua Floriano Peixoto,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57570-970,Praça Dezenove de Setembro,135,AC Cacimbinhas,Centro,Cacimbinhas,AL,Alagoas,,2701209,,82,2723
57580-000,,,,,Major Isidoro,AL,Alagoas,,2704401,,82,2787
57580-970,Rua Sargento Benevides,189,AC Major Isidoro,Centro,Major Isidoro,AL,Alagoas,,2704401,,82,2787
57600-010,Praça da Independência,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57585-000,,,,Riacho do Sertão,Major Isidoro,AL,Alagoas,,2704401,,82,2787
57600-070,Rua Otávio Cavalcante,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-025,Rua Luiz Silveira,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-040,Rua Duque de Caxias,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-050,Rua Major Cícero de Góis Monteiro,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-060,Rua Marechal Deodoro da Fonseca,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-080,Rua Vereador Nilo Barros,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-030,Rua José Maria Passos,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-090,Rua Correia Paes,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-095,Praça Nilo Torres,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-100,Rua Doutor Moreira e Silva,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-120,Rua Fernandes Lima,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-140,Rua Vigário Maia,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
57600-130,Rua Costa Rêgo,,,Centro,Palmeira dos Índios,AL,Alagoas,,2706307,,82,2825
